track_name,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,,,
Gayatri Mantra 108 Times,0.635,0.704,5.0,-2.394,0,0.043,0.720,0,0.069,0.448,137.124,1787995,4,,,
Memories,0.764,0.320,11.0,-7.209,1,0.055,0.837,0,0.082,0.575,91.019,189486,4,,,
Circles,0.695,0.762,0.0,-3.497,1,0.040,0.192,0.00244,0.086,0.553,120.042,215280,4,,,
Lose You To Love Me,0.488,0.343,4.0,-8.985,1,0.044,0.556,0,0.210,0.098,102.819,206459,4,,,
Photograph,0.614,0.379,4.0,-10.480,1,0.048,0.607,0.000464,0.099,0.201,107.989,258987,4,,,
Trampoline (with ZAYN),0.616,0.736,11.0,-3.708,0,0.077,0.570,0,0.345,0.673,77.041,224805,4,,,
Feelings,0.694,0.466,9.0,-6.758,1,0.038,0.093,0,0.098,0.246,103.018,189613,4,,,
I Like Me Better,0.752,0.505,9.0,-7.621,1,0.253,0.535,0.000003,0.104,0.419,91.970,197437,4,,,
If the World Was Ending - feat. Julia Michaels,0.464,0.473,1.0,-10.086,1,0.129,0.866,0,0.109,0.604,75.801,208687,4,,,
Breathe,0.746,0.486,10.0,-7.004,1,0.034,0.222,0.000001,0.123,0.417,92.057,233228,4,,,
If I Can't Have You,0.692,0.809,2.0,-4.198,1,0.060,0.524,0,0.147,0.864,123.911,190800,4,,,
Perfect,0.599,0.448,8.0,-6.312,1,0.023,0.163,0,0.106,0.168,95.050,263400,3,,,
Halo,0.422,0.712,11.0,-5.907,0,0.100,0.273,0,0.051,0.471,78.454,261160,4,,,
Superhero,0.669,0.937,8.0,-4.054,0,0.071,0.028,0.000018,0.318,0.223,75.013,179225,4,,,
"fuck, i'm lonely",0.806,0.558,9.0,-6.460,1,0.068,0.482,0,0.062,0.678,95.016,198973,4,,,
Tu Meri,0.679,0.688,8.0,-5.522,1,0.029,0.077,0,0.704,0.424,127.951,257089,4,,,
Someone You Loved,0.501,0.405,1.0,-5.679,1,0.032,0.751,0,0.105,0.446,109.891,182161,4,,,
The Bones - with Hozier,0.561,0.597,11.0,-6.000,0,0.041,0.286,0,0.098,0.355,76.826,197299,4,,,
Let Her Go,0.509,0.538,7.0,-7.335,1,0.057,0.385,0,0.104,0.244,75.089,252867,4,,,
Conversations in the Dark,0.572,0.742,8.0,-4.589,0,0.035,0.245,0,0.108,0.376,127.190,210236,4,,,
i'm so tired...,0.599,0.733,11.0,-7.058,1,0.203,0.176,0,0.242,0.534,102.211,162583,4,,,
Kho Gaye Hum Kahan,0.778,0.227,1.0,-16.191,1,0.038,0.983,0.14,0.113,0.380,116.033,213056,4,,,
Young Dumb & Broke,0.798,0.539,1.0,-6.351,1,0.042,0.199,0.000017,0.165,0.394,136.949,202547,4,,,
Adore You,0.676,0.771,8.0,-3.675,1,0.048,0.024,0.000007,0.102,0.569,99.048,207133,4,,,
Chinna Chinna Asai,0.591,0.410,2.0,-6.901,1,0.049,0.299,0.000042,0.132,0.569,171.809,293076,4,,,
Lover (Remix) [feat. Shawn Mendes],0.448,0.603,7.0,-7.176,1,0.064,0.433,0,0.086,0.422,205.272,221307,3,,,
Stitches,0.746,0.754,1.0,-6.684,1,0.068,0.015,0,0.049,0.746,149.882,206880,4,,,
Roobaroo,0.675,0.582,9.0,-8.891,1,0.028,0.661,0.000006,0.085,0.538,120.991,282973,4,,,
Closer,0.748,0.524,8.0,-5.599,1,0.034,0.414,0,0.111,0.661,95.010,244960,4,,,
Be Alright,0.553,0.586,11.0,-6.319,1,0.036,0.697,0,0.081,0.443,126.684,196373,4,,,
She Looks So Perfect,0.494,0.951,9.0,-4.237,1,0.132,0.001,0,0.327,0.441,160.025,202496,4,,,
Sunflower - Spider-Man: Into the Spider-Verse,0.760,0.479,2.0,-5.574,1,0.047,0.556,0,0.070,0.913,89.911,158040,4,,,
How Do You Sleep?,0.477,0.682,1.0,-4.931,0,0.093,0.153,0,0.076,0.345,110.567,202205,5,,,
Payphone,0.743,0.752,4.0,-4.813,1,0.041,0.019,0,0.287,0.545,110.015,231173,4,,,
Kaise Mujhe,0.590,0.414,10.0,-12.391,1,0.035,0.781,0.000522,0.146,0.292,82.002,343742,4,,,
Se–orita,0.759,0.540,9.0,-6.039,0,0.029,0.037,0,0.095,0.750,116.947,190960,4,,,
Story of My Life,0.600,0.663,3.0,-5.802,1,0.048,0.225,0,0.119,0.286,121.070,245493,4,,,
Happier,0.687,0.792,5.0,-2.749,1,0.045,0.191,0,0.167,0.671,100.015,214290,4,,,
There's No Way (feat. Julia Michaels),0.755,0.625,2.0,-7.114,1,0.090,0.490,0,0.157,0.374,147.020,174861,4,,,
Hello,0.470,0.431,5.0,-6.129,0,0.034,0.329,0,0.085,0.289,157.980,295502,4,,,
hot girl bummer,0.778,0.559,6.0,-7.109,0,0.078,0.128,0,0.399,0.678,129.989,185093,1,,,
They Don't Know About Us,0.514,0.727,0.0,-6.131,1,0.049,0.126,0,0.098,0.370,147.917,200400,4,,,
Blinding Lights,0.514,0.730,1.0,-5.934,1,0.060,0.001,0.000095,0.090,0.334,171.005,200040,4,,,
Shut Up and Dance,0.578,0.866,1.0,-3.804,1,0.062,0.007,0,0.257,0.619,128.038,199080,4,,,
Secret Love Song (feat. Jason Derulo),0.534,0.642,9.0,-3.971,1,0.050,0.259,0,0.290,0.131,92.963,249813,4,,,
Never Be Alone,0.376,0.466,10.0,-6.927,1,0.035,0.514,0.000058,0.078,0.276,199.835,215813,4,,,
Better,0.680,0.578,10.0,-5.804,1,0.040,0.331,0,0.135,0.341,145.038,231267,4,,,
Little Talks,0.457,0.757,1.0,-5.177,1,0.032,0.021,0,0.146,0.417,102.961,266600,4,,,
Love Yourself,0.609,0.378,4.0,-9.828,1,0.438,0.835,0,0.280,0.515,100.418,233720,4,,,
The A Team,0.642,0.289,9.0,-9.918,1,0.037,0.669,0,0.180,0.407,84.996,258373,4,,,